Sigla;Código;Estado;mulheres_2012
AC;12;Acre;54,7
AL;27;Alagoas;55,3
AM;13;Amazonas;52,5
AP;16;Amapá;51,9
BA;29;Bahia;56,2
CE;23;Ceará;48,9
DF;53;Distrito Federal;59,0
ES;32;Espírito Santo;53,6
GO;52;Goiás;59,0
MA;21;Maranhão;52,8
MG;31;Minas Gerais;56,9
MS;50;Mato Grosso do Sul;52,8
MT;51;Mato Grosso;55,9
PA;15;Pará;56,8
PB;25;Paraíba;55,6
PE;26;Pernambuco;56,1
PI;22;Piauí;48,8
PR;41;Paraná;59,7
RJ;33;Rio de Janeiro;55,8
RN;24;Rio Grande do Norte;49,0
RO;11;Rondônia;56,6
RR;14;Roraima;58,2
RS;43;Rio Grande do Sul;57,2
SC;42;Santa Catarina;57,3
SE;28;Sergipe;53,5
SP;35;São Paulo;54,6
TO;17;Tocantins;44,7
